Name,event_category,event_action,event_label,description,Note
Video interval seconds,"Video-Interval-Seconds","$videoName_$containingpage","{10s | 20s | 30s | etc }","Video progression by 10s intervals for the length of the video","For video interactions on any tabbed sections, fire $PagePath_$TabName"
Video plays,"Video-Plays","$videoName_$containingpage","{Start|End}","Video Starts/Ends","For video interactions on any tabbed sections, fire $PagePath_$TabName"
Video interval percent,"Video-Interval-Percent","$videoName_$containingpage","{ 25% | 50% | 75% | 100%}","Video progression by quartiles","For video interactions on any tabbed sections, fire $PagePath_$TabName"
CTA,"CTA","$CTA Text","$CTA URL","cta_clicks","Where $CTAText is the text of the CTA button and $CTA URL is the click url of the CTA button. For click elements on any tabbed sections, fire $PagePath_$TabName"
ISI click,"ISI Click","$PageSubdirectory","{Expand}","interactions with expandable ISI","For isi interactions on any tabbed sections, fire $PagePath_$TabName"
Expansions,"Expansions","{Expand | Collapse | Expand All | Collapse All}","$ExpansionText","Expandable content interactions",""
Click to call,"Click to Call","$Link_Name or $Link_Text","$Link_URL","click to call - on any device",""
Error page load,"Error Page Load","$PagePathwithQueryStrings","$DocReferrer","Redundant (but elevated) instance of page_view event that is triggered by error pages (404) specifically","403 and 500 have server-side errors and would not allow GTM to load, therefore, rendering them untrackable."
Anchor link,"Anchor_Link","$PagePath","$#AnchorLocation","Clicks on the anchor links for long scrolling sites",""
Interstitial load,"Interstitial","$PagePath","$InterstitialName","Whenever an interstital is launched",""
Interstitial dismiss,"Interstitial","$PagePath","$InterstitialName","Whenever an interstital is Dismissed",""
Tabs,"Tabs","$PageSubdirectory","$Title_$LinkName","Track interaction with tabbed content","$Title here should capture Pageload or Click for tabs.  e.g. The tabs in the 'Support & Resources"" page ""My neffyconnect"", ""Videos"", ""Tools & Resources"", and ""Community Support"". For click elements on any tabbed sections, fire $PagePath_$TabName"
Back to top,"Back to Top","$PagePath or $PagePath_$TabName","","clicks on the back to top button (^) on any pages of the site","For back to top click on any tabbed sections, fire $PagePath_$TabName"
Click action,"Click Action","$ClickText","$filename OR $clickURL OR $ContentTitle","Covers all click events on site including clicks to download, CTAs, etc. Excludes outbound links.","$ContentTitle Represents the title of the content block (e.g., grid tile, card, or similar component) where the interaction occurs.  This value is captured when a user clicks a button located within or beneath the content block.  Example: On the homepage, within the ""Test Your Knowledge"" grid, when a user clicks any of the buttons labeled ""64%"", ""83%"", or ""12%"", the value of cd_event_label should capture $ContentTitle, which in this case is: ""Test Your Knowledge"". For click elements on any tabbed sections, fire $PagePath_$TabName"
Slideshow interaction,"Slideshow","$PagePath","{Resume|Pause}","clicks on pause/ resume button for a slideshow",""
Click to email,"Click to Email","$Link_Name or $Link_Text","$Link_URL","click to email - on any device","e.g. Send us an email at: communityprograms@ars-pharma.com on the neffy-in-schools page"
Next page,"Next Page","$ClickText","$clickURL","clicks on the 'Next Page' navigation links at the body of the page, directing to the next page","For click elements on any tabbed sections, fire $PagePath_$TabName"
Navigation expand,"Navigation Expand","{Expand | Collapse}","$ExpansionText","expandable element on the navigation bar (either mouse hovering on desktop website or clicked to expand the dropdown on mobile site)",""
File download,"Download","$ClickText_$FileName","$FileURL","when a user clicks a link leading to a file (with a common file extension) of the following types:document text executable presentation compressed file video audio File extensions that match the following regex will trigger the event: pdf|xlsx?|docx?|txt|rtf|csv|exe|key|pp(s|t|tx)| 7z|pkg|rar|gz|zip|avi|mov|mp4|mpe?g|wmv|midi?|mp3|wav|wma","For file downloads on any tabbed sections, fire $PagePath_$TabName"
Home page,"Home Page","neffy Logo","$Link_URL","click to neffy logo (directed to homepage) on any pages",""

